sector,indicator,variant,threshold_label,threshold_pct,level_label,lower_level,upper_level,candle_label,use_candle_confirmation,volume_label,use_volume_filter,volume_window,volume_multiplier,total_active_signals,correct_signals,directional_accuracy,hit_rate,meets_min_active_signals
Industri,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.01% | No Volume Filter,Histogram Threshold 0.01%,0.0001,,,,,False,No Volume Filter,False,20,0.0,82,35,42.68292682926829,45.0,True
Industri,MACD,MACD 12/26/9 + SMA50 | No Threshold | No Volume Filter,No Threshold,0.0,,,,,False,No Volume Filter,False,20,0.0,91,38,41.75824175824176,45.256410256410255,True
Industri,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.025% | No Volume Filter,Histogram Threshold 0.025%,0.00025,,,,,False,No Volume Filter,False,20,0.0,74,30,40.54054054054054,41.36363636363637,True
Industri,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.10% | No Volume Filter,Histogram Threshold 0.10%,0.001,,,,,False,No Volume Filter,False,20,0.0,42,16,38.095238095238095,42.26190476190476,True
Industri,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.01% | Volume >= VolMA20,Histogram Threshold 0.01%,0.0001,,,,,False,Volume >= VolMA20,True,20,1.0,50,19,38.0,41.98717948717949,True
Industri,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.05% | No Volume Filter,Histogram Threshold 0.05%,0.0005,,,,,False,No Volume Filter,False,20,0.0,59,22,37.28813559322034,40.885416666666664,True
Industri,MACD,MACD 12/26/9 + SMA50 | No Threshold | Volume >= VolMA20,No Threshold,0.0,,,,,False,Volume >= VolMA20,True,20,1.0,54,20,37.03703703703704,41.09195402298851,True
Industri,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.025% | Volume >= VolMA20,Histogram Threshold 0.025%,0.00025,,,,,False,Volume >= VolMA20,True,20,1.0,49,18,36.734693877551024,39.666666666666664,True
Industri,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.05% | Volume >= VolMA20,Histogram Threshold 0.05%,0.0005,,,,,False,Volume >= VolMA20,True,20,1.0,41,15,36.58536585365854,42.0,True
Industri,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.10% | Volume >= VolMA20,Histogram Threshold 0.10%,0.001,,,,,False,Volume >= VolMA20,True,20,1.0,31,11,35.483870967741936,40.151515151515156,True
Industri,RSI,RSI14 + SMA50 | RSI 40/60 | No Candle Confirmation | Volume >= VolMA20,,,RSI 40/60,40.0,60.0,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,30,14,46.666666666666664,53.333333333333336,True
Industri,RSI,RSI14 + SMA50 | RSI 40/60 | Candle Confirmation | Volume >= VolMA20,,,RSI 40/60,40.0,60.0,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,29,13,44.827586206896555,50.87719298245614,True
Industri,RSI,RSI14 + SMA50 | RSI 40/60 | Candle Confirmation | No Volume Filter,,,RSI 40/60,40.0,60.0,Candle Confirmation,True,No Volume Filter,False,20,0.0,50,22,44.0,46.66666666666667,True
Industri,RSI,RSI14 + SMA50 | RSI 35/65 | No Candle Confirmation | Volume >= VolMA20,,,RSI 35/65,35.0,65.0,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,19,8,42.10526315789473,46.875,True
Industri,RSI,RSI14 + SMA50 | RSI 40/60 | No Candle Confirmation | No Volume Filter,,,RSI 40/60,40.0,60.0,No Candle Confirmation,False,No Volume Filter,False,20,0.0,63,26,41.269841269841265,47.8735632183908,True
Industri,RSI,RSI14 + SMA50 | RSI 30/70 | No Candle Confirmation | No Volume Filter,,,RSI 30/70,30.0,70.0,No Candle Confirmation,False,No Volume Filter,False,20,0.0,18,7,38.88888888888889,40.0,True
Industri,RSI,RSI14 + SMA50 | RSI 35/65 | Candle Confirmation | Volume >= VolMA20,,,RSI 35/65,35.0,65.0,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,16,6,37.5,42.30769230769231,True
Industri,RSI,RSI14 + SMA50 | RSI 30/70 | No Candle Confirmation | Volume >= VolMA20,,,RSI 30/70,30.0,70.0,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,11,4,36.36363636363637,36.36363636363637,True
Industri,RSI,RSI14 + SMA50 | RSI 35/65 | No Candle Confirmation | No Volume Filter,,,RSI 35/65,35.0,65.0,No Candle Confirmation,False,No Volume Filter,False,20,0.0,35,12,34.285714285714285,40.57971014492754,True
Industri,RSI,RSI14 + SMA50 | RSI 30/70 | Candle Confirmation | No Volume Filter,,,RSI 30/70,30.0,70.0,Candle Confirmation,True,No Volume Filter,False,20,0.0,13,4,30.76923076923077,33.333333333333336,True
Industri,RSI,RSI14 + SMA50 | RSI 25/75 | No Candle Confirmation | No Volume Filter,,,RSI 25/75,25.0,75.0,No Candle Confirmation,False,No Volume Filter,False,20,0.0,10,3,30.0,27.77777777777778,True
Industri,RSI,RSI14 + SMA50 | RSI 35/65 | Candle Confirmation | No Volume Filter,,,RSI 35/65,35.0,65.0,Candle Confirmation,True,No Volume Filter,False,20,0.0,28,8,28.57142857142857,31.666666666666668,True
Industri,RSI,RSI14 + SMA50 | RSI 30/70 | Candle Confirmation | Volume >= VolMA20,,,RSI 30/70,30.0,70.0,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,9,3,33.33333333333333,33.333333333333336,False
Industri,RSI,RSI14 + SMA50 | RSI 25/75 | No Candle Confirmation | Volume >= VolMA20,,,RSI 25/75,25.0,75.0,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,5,1,20.0,20.0,False
Industri,RSI,RSI14 + SMA50 | RSI 25/75 | Candle Confirmation | No Volume Filter,,,RSI 25/75,25.0,75.0,Candle Confirmation,True,No Volume Filter,False,20,0.0,7,0,0.0,0.0,False
Industri,RSI,RSI14 + SMA50 | RSI 25/75 | Candle Confirmation | Volume >= VolMA20,,,RSI 25/75,25.0,75.0,Candle Confirmation,True,Volume >= VolMA20,True,20,1.0,4,0,0.0,0.0,False
Teknologi,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.10% | Volume >= VolMA20,Histogram Threshold 0.10%,0.001,,,,,False,Volume >= VolMA20,True,20,1.0,31,13,41.935483870967744,45.45454545454545,True
Teknologi,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.10% | No Volume Filter,Histogram Threshold 0.10%,0.001,,,,,False,No Volume Filter,False,20,0.0,46,17,36.95652173913043,40.333333333333336,True
Teknologi,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.025% | Volume >= VolMA20,Histogram Threshold 0.025%,0.00025,,,,,False,Volume >= VolMA20,True,20,1.0,44,16,36.36363636363637,38.58974358974359,True
Teknologi,MACD,MACD 12/26/9 + SMA50 | No Threshold | Volume >= VolMA20,No Threshold,0.0,,,,,False,Volume >= VolMA20,True,20,1.0,58,21,36.206896551724135,34.33179723502304,True
Teknologi,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.05% | Volume >= VolMA20,Histogram Threshold 0.05%,0.0005,,,,,False,Volume >= VolMA20,True,20,1.0,42,15,35.714285714285715,39.74358974358974,True
Teknologi,MACD,MACD 12/26/9 + SMA50 | No Threshold | No Volume Filter,No Threshold,0.0,,,,,False,No Volume Filter,False,20,0.0,98,35,35.714285714285715,37.372372372372375,True
Teknologi,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.01% | Volume >= VolMA20,Histogram Threshold 0.01%,0.0001,,,,,False,Volume >= VolMA20,True,20,1.0,51,18,35.294117647058826,37.41496598639456,True
Teknologi,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.01% | No Volume Filter,Histogram Threshold 0.01%,0.0001,,,,,False,No Volume Filter,False,20,0.0,91,32,35.16483516483517,37.372372372372375,True
Teknologi,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.025% | No Volume Filter,Histogram Threshold 0.025%,0.00025,,,,,False,No Volume Filter,False,20,0.0,81,28,34.5679012345679,38.12244897959184,True
Teknologi,MACD,MACD 12/26/9 + SMA50 | Histogram Threshold 0.05% | No Volume Filter,Histogram Threshold 0.05%,0.0005,,,,,False,No Volume Filter,False,20,0.0,70,24,34.285714285714285,37.473118279569896,True
Teknologi,RSI,RSI14 + SMA50 | RSI 30/70 | Candle Confirmation | No Volume Filter,,,RSI 30/70,30.0,70.0,Candle Confirmation,True,No Volume Filter,False,20,0.0,15,10,66.66666666666666,69.23076923076923,True
Teknologi,RSI,RSI14 + SMA50 | RSI 30/70 | No Candle Confirmation | No Volume Filter,,,RSI 30/70,30.0,70.0,No Candle Confirmation,False,No Volume Filter,False,20,0.0,17,10,58.82352941176471,60.0,True
Teknologi,RSI,RSI14 + SMA50 | RSI 40/60 | No Candle Confirmation | No Volume Filter,,,RSI 40/60,40.0,60.0,No Candle Confirmation,False,No Volume Filter,False,20,0.0,55,30,54.54545454545454,50.0,True
Teknologi,RSI,RSI14 + SMA50 | RSI 35/65 | Candle Confirmation | No Volume Filter,,,RSI 35/65,35.0,65.0,Candle Confirmation,True,No Volume Filter,False,20,0.0,28,15,53.57142857142857,53.50877192982456,True
Teknologi,RSI,RSI14 + SMA50 | RSI 40/60 | No Candle Confirmation | Volume >= VolMA20,,,RSI 40/60,40.0,60.0,No Candle Confirmation,False,Volume >= VolMA20,True,20,1.0,29,15,51.724137931034484,48.48484848484849,True
