sektor,ticker,ticker_yfinance,window_id,period,indicator,signal_column,in_sample_start,in_sample_end,out_sample_start,out_sample_end,total_active_signals,correct_signals,directional_accuracy,hit_rate
Energi,DSSA,DSSA.JK,4,out_sample,MACD,MACD_Trade_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,6,4,66.66666666666666,66.66666666666666
Energi,DSSA,DSSA.JK,4,out_sample,RSI,RSI_Signal,2025-07-21,2026-01-20,2026-01-21,2026-04-21,3,1,33.33333333333333,33.33333333333333
Energi,GEMS,GEMS.JK,1,in_sample,MA Crossover,MA_Crossover_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,2,0,0.0,0.0
Energi,GEMS,GEMS.JK,1,in_sample,MACD,MACD_Trade_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,10,3,30.0,30.0
Energi,GEMS,GEMS.JK,1,in_sample,RSI,RSI_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,2,2,100.0,100.0
Energi,GEMS,GEMS.JK,1,out_sample,MA Crossover,MA_Crossover_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,2,1,50.0,50.0
Energi,GEMS,GEMS.JK,1,out_sample,MACD,MACD_Trade_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,1,0,0.0,0.0
Energi,GEMS,GEMS.JK,1,out_sample,RSI,RSI_Signal,2024-10-21,2025-04-20,2025-04-21,2025-07-21,0,0,0.0,0.0
Energi,GEMS,GEMS.JK,2,in_sample,MA Crossover,MA_Crossover_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,2,1,50.0,50.0
Energi,GEMS,GEMS.JK,2,in_sample,MACD,MACD_Trade_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,6,2,33.33333333333333,33.33333333333333
Energi,GEMS,GEMS.JK,2,in_sample,RSI,RSI_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,2,2,100.0,100.0
Energi,GEMS,GEMS.JK,2,out_sample,MA Crossover,MA_Crossover_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,4,2,50.0,50.0
Energi,GEMS,GEMS.JK,2,out_sample,MACD,MACD_Trade_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,6,1,16.666666666666664,16.666666666666664
Energi,GEMS,GEMS.JK,2,out_sample,RSI,RSI_Signal,2025-01-21,2025-07-20,2025-07-21,2025-10-21,0,0,0.0,0.0
Energi,GEMS,GEMS.JK,3,in_sample,MA Crossover,MA_Crossover_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,6,3,50.0,50.0
Energi,GEMS,GEMS.JK,3,in_sample,MACD,MACD_Trade_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,8,2,25.0,25.0
Energi,GEMS,GEMS.JK,3,in_sample,RSI,RSI_Signal,2025-04-21,2025-10-20,2025-10-21,2026-01-21,0,0,0.0,0.0
