sektor,ticker,ticker_yfinance,indicator,signal_column,windows_count,total_active_signals,correct_signals,directional_accuracy,hit_rate
Industri,JTPE,JTPE.JK,RSI,RSI_Signal,4,0,0,0.0,0.0
Industri,MARK,MARK.JK,MA Crossover,MA_Crossover_Signal,4,1,1,100.0,100.0
Industri,MARK,MARK.JK,MACD,MACD_Trade_Signal,4,2,1,50.0,50.0
Industri,MARK,MARK.JK,RSI,RSI_Signal,4,0,0,0.0,0.0
Industri,SUNI,SUNI.JK,MA Crossover,MA_Crossover_Signal,4,5,3,60.0,62.5
Industri,SUNI,SUNI.JK,MACD,MACD_Trade_Signal,4,3,0,0.0,0.0
Industri,SUNI,SUNI.JK,RSI,RSI_Signal,4,4,3,75.0,66.66666666666667
Industri,UNTR,UNTR.JK,MA Crossover,MA_Crossover_Signal,4,1,1,100.0,100.0
Industri,UNTR,UNTR.JK,MACD,MACD_Trade_Signal,4,4,1,25.0,25.0
Industri,UNTR,UNTR.JK,RSI,RSI_Signal,4,2,1,50.0,50.0
Industri,VISI,VISI.JK,MA Crossover,MA_Crossover_Signal,4,3,1,33.33333333333333,33.33333333333333
Industri,VISI,VISI.JK,MACD,MACD_Trade_Signal,4,2,1,50.0,50.0
Industri,VISI,VISI.JK,RSI,RSI_Signal,4,3,1,33.33333333333333,25.0
Teknologi,BELI,BELI.JK,MA Crossover,MA_Crossover_Signal,4,2,1,50.0,50.0
Teknologi,BELI,BELI.JK,MACD,MACD_Trade_Signal,4,1,0,0.0,0.0
Teknologi,BELI,BELI.JK,RSI,RSI_Signal,4,0,0,0.0,0.0
Teknologi,BUKA,BUKA.JK,MA Crossover,MA_Crossover_Signal,4,3,2,66.66666666666666,75.0
Teknologi,BUKA,BUKA.JK,MACD,MACD_Trade_Signal,4,4,2,50.0,66.66666666666667
Teknologi,BUKA,BUKA.JK,RSI,RSI_Signal,4,3,2,66.66666666666666,66.66666666666667
Teknologi,CYBR,CYBR.JK,MA Crossover,MA_Crossover_Signal,4,1,0,0.0,0.0
Teknologi,CYBR,CYBR.JK,MACD,MACD_Trade_Signal,4,2,1,50.0,50.0
Teknologi,CYBR,CYBR.JK,RSI,RSI_Signal,4,1,1,100.0,100.0
Teknologi,DCII,DCII.JK,MA Crossover,MA_Crossover_Signal,4,1,1,100.0,100.0
Teknologi,DCII,DCII.JK,MACD,MACD_Trade_Signal,4,4,0,0.0,0.0
Teknologi,DCII,DCII.JK,RSI,RSI_Signal,4,4,3,75.0,66.66666666666667
Teknologi,EMTK,EMTK.JK,MA Crossover,MA_Crossover_Signal,4,5,2,40.0,50.0
Teknologi,EMTK,EMTK.JK,MACD,MACD_Trade_Signal,4,4,2,50.0,50.0
Teknologi,EMTK,EMTK.JK,RSI,RSI_Signal,4,1,1,100.0,100.0
Teknologi,GOTO,GOTO.JK,MA Crossover,MA_Crossover_Signal,4,3,0,0.0,0.0
Teknologi,GOTO,GOTO.JK,MACD,MACD_Trade_Signal,4,4,1,25.0,16.666666666666668
Teknologi,GOTO,GOTO.JK,RSI,RSI_Signal,4,0,0,0.0,0.0
Teknologi,MLPT,MLPT.JK,MA Crossover,MA_Crossover_Signal,4,2,1,50.0,50.0
Teknologi,MLPT,MLPT.JK,MACD,MACD_Trade_Signal,4,5,4,80.0,66.66666666666667
Teknologi,MLPT,MLPT.JK,RSI,RSI_Signal,4,4,1,25.0,25.0
Teknologi,MSTI,MSTI.JK,MA Crossover,MA_Crossover_Signal,4,6,4,66.66666666666666,72.22222222222221
Teknologi,MSTI,MSTI.JK,MACD,MACD_Trade_Signal,4,3,1,33.33333333333333,50.0
Teknologi,MSTI,MSTI.JK,RSI,RSI_Signal,4,1,1,100.0,100.0
Teknologi,MTDL,MTDL.JK,MA Crossover,MA_Crossover_Signal,4,3,1,33.33333333333333,33.333333333333336
Teknologi,MTDL,MTDL.JK,MACD,MACD_Trade_Signal,4,1,0,0.0,0.0
Teknologi,MTDL,MTDL.JK,RSI,RSI_Signal,4,3,1,33.33333333333333,33.333333333333336
Teknologi,WIFI,WIFI.JK,MA Crossover,MA_Crossover_Signal,4,4,2,50.0,50.0
Teknologi,WIFI,WIFI.JK,MACD,MACD_Trade_Signal,4,6,2,33.33333333333333,33.333333333333336
Teknologi,WIFI,WIFI.JK,RSI,RSI_Signal,4,3,1,33.33333333333333,33.333333333333336
